catid,xcat,lcat,mcat,scat
50000000,패션의류,,,
50000167,패션의류,여성의류,,
50000805,패션의류,여성의류,니트/스웨터,
50000806,패션의류,여성의류,카디건,
50000807,패션의류,여성의류,원피스,
50000803,패션의류,여성의류,티셔츠,
50000804,패션의류,여성의류,블라우스/셔츠,
50000814,패션의류,여성의류,점퍼,
50000815,패션의류,여성의류,재킷,
50000813,패션의류,여성의류,코트,
50000809,패션의류,여성의류,청바지,
50000808,패션의류,여성의류,스커트,
50000812,패션의류,여성의류,레깅스,
50000810,패션의류,여성의류,바지,
50000818,패션의류,여성의류,트레이닝복,
50000817,패션의류,여성의류,조끼,
50000816,패션의류,여성의류,정장세트,
50000819,패션의류,여성의류,한복,
50000821,패션의류,여성의류,유니폼/단체복,
50000820,패션의류,여성의류,파티복,
50000822,패션의류,여성의류,레인코트,
50000811,패션의류,여성의류,점프슈트,
50000778,패션의류,여성의류,코디세트,
50000168,패션의류,여성언더웨어/잠옷,,
50000823,패션의류,여성언더웨어/잠옷,브라,
50000824,패션의류,여성언더웨어/잠옷,팬티,
50000825,패션의류,여성언더웨어/잠옷,브라팬티세트,
50001452,패션의류,여성언더웨어/잠옷,보정속옷,
50003624,패션의류,여성언더웨어/잠옷,보정속옷,니퍼/복대
50003625,패션의류,여성언더웨어/잠옷,보정속옷,코르셋
50003626,패션의류,여성언더웨어/잠옷,보정속옷,올인원/바디쉐이퍼
50003627,패션의류,여성언더웨어/잠옷,보정속옷,거들
50003630,패션의류,여성언더웨어/잠옷,보정속옷,보정속옷세트
50003631,패션의류,여성언더웨어/잠옷,보정속옷,기타보정속옷
50000826,패션의류,여성언더웨어/잠옷,잠옷/홈웨어,
50000827,패션의류,여성언더웨어/잠옷,슬립,
50000828,패션의류,여성언더웨어/잠옷,러닝/캐미솔,
50000829,패션의류,여성언더웨어/잠옷,속치마/속바지,
50001453,패션의류,여성언더웨어/잠옷,시즌성내의,
50003632,패션의류,여성언더웨어/잠옷,시즌성내의,내복
50003634,패션의류,여성언더웨어/잠옷,시즌성내의,힙워머
50003635,패션의류,여성언더웨어/잠옷,시즌성내의,모시메리
50001454,패션의류,여성언더웨어/잠옷,언더웨어소품,
50003636,패션의류,여성언더웨어/잠옷,언더웨어소품,가터벨트
50003637,패션의류,여성언더웨어/잠옷,언더웨어소품,브라끈
50003638,패션의류,여성언더웨어/잠옷,언더웨어소품,브라패드
50003639,패션의류,여성언더웨어/잠옷,언더웨어소품,땀패드
50003816,패션의류,여성언더웨어/잠옷,언더웨어소품,기타언더웨어소품
50000169,패션의류,남성의류,,
50000831,패션의류,남성의류,니트/스웨터,
50000830,패션의류,남성의류,티셔츠,
50000833,패션의류,남성의류,셔츠/남방,
50000832,패션의류,남성의류,카디건,
50000837,패션의류,남성의류,점퍼,
50000838,패션의류,남성의류,재킷,
50000839,패션의류,남성의류,코트,
50000835,패션의류,남성의류,청바지,
50000836,패션의류,남성의류,바지,
50000834,패션의류,남성의류,조끼,
50000840,패션의류,남성의류,정장세트,
50000841,패션의류,남성의류,트레이닝복,
50000842,패션의류,남성의류,한복,
50000843,패션의류,남성의류,유니폼/단체복,
50000844,패션의류,남성의류,레인코트,
50006328,패션의류,남성의류,코디세트,
50000170,패션의류,남성언더웨어/잠옷,,
50000845,패션의류,남성언더웨어/잠옷,팬티,
50000846,패션의류,남성언더웨어/잠옷,러닝,
50000847,패션의류,남성언더웨어/잠옷,러닝팬티세트,
50000848,패션의류,남성언더웨어/잠옷,잠옷/홈웨어,
50001455,패션의류,남성언더웨어/잠옷,보정속옷,
50003804,패션의류,남성언더웨어/잠옷,보정속옷,보정상의
50003805,패션의류,남성언더웨어/잠옷,보정속옷,보정하의
50003807,패션의류,남성언더웨어/잠옷,보정속옷,복대
50001456,패션의류,남성언더웨어/잠옷,시즌성내의,
50003808,패션의류,남성언더웨어/잠옷,시즌성내의,내복
50003810,패션의류,남성언더웨어/잠옷,시즌성내의,모시메리
50000001,패션잡화,,,
50000173,패션잡화,여성신발,,
50001459,패션잡화,여성신발,단화,
50003817,패션잡화,여성신발,단화,플랫
50003818,패션잡화,여성신발,단화,로퍼
50003819,패션잡화,여성신발,단화,옥스포드화
50003820,패션잡화,여성신발,단화,모카신/털신
50003821,패션잡화,여성신발,단화,슬립온
50003822,패션잡화,여성신발,단화,스니커즈
50001460,패션잡화,여성신발,힐/펌프스,
50003823,패션잡화,여성신발,힐/펌프스,하이힐
50003824,패션잡화,여성신발,힐/펌프스,가보시힐
50003825,패션잡화,여성신발,힐/펌프스,스트랩힐
50003826,패션잡화,여성신발,힐/펌프스,슬링백힐
50003827,패션잡화,여성신발,힐/펌프스,웨지힐
50003828,패션잡화,여성신발,힐/펌프스,토오픈힐
50003829,패션잡화,여성신발,힐/펌프스,통굽힐
50003830,패션잡화,여성신발,힐/펌프스,펌프스
50003831,패션잡화,여성신발,힐/펌프스,웨딩슈즈
50001461,패션잡화,여성신발,워커,
50003832,패션잡화,여성신발,워커,플랫워커
50003833,패션잡화,여성신발,워커,워커힐
50000779,패션잡화,여성신발,부티,
50001463,패션잡화,여성신발,운동화,
50003835,패션잡화,여성신발,운동화,러닝화
50003836,패션잡화,여성신발,운동화,보드화
50003837,패션잡화,여성신발,운동화,하이탑
50003838,패션잡화,여성신발,운동화,아쿠아슈즈
50003839,패션잡화,여성신발,운동화,워킹화
50003840,패션잡화,여성신발,운동화,캔버스화
50001464,패션잡화,여성신발,샌들,
50003841,패션잡화,여성신발,샌들,슬링백샌들
50003842,패션잡화,여성신발,샌들,스트랩샌들
50003843,패션잡화,여성신발,샌들,웨지힐샌들
50003844,패션잡화,여성신발,샌들,글래디에이터샌들
50003845,패션잡화,여성신발,샌들,젤리샌들
50003846,패션잡화,여성신발,샌들,아쿠아샌들
50003847,패션잡화,여성신발,샌들,뮬/블로퍼
50000780,패션잡화,여성신발,슬리퍼,
50000781,패션잡화,여성신발,실내화,
50001465,패션잡화,여성신발,기능화,
50003848,패션잡화,여성신발,기능화,유니폼화
50003849,패션잡화,여성신발,기능화,작업화/안전화
50003850,패션잡화,여성신발,기능화,컴포트화
50003851,패션잡화,여성신발,기능화,한복신발
50003852,패션잡화,여성신발,기능화,다이어트화
50003853,패션잡화,여성신발,기능화,댄스화
50001462,패션잡화,여성신발,부츠,
50003834,패션잡화,여성신발,부츠,롱부츠
50004190,패션잡화,여성신발,부츠,미들부츠
50004191,패션잡화,여성신발,부츠,앵클/숏부츠
50000174,패션잡화,남성신발,,
50000783,패션잡화,남성신발,슬립온,
50000784,패션잡화,남성신발,모카신/털신,
50000785,패션잡화,남성신발,보트슈즈,
50000788,패션잡화,남성신발,스니커즈,
50000789,패션잡화,남성신발,샌들,
50000790,패션잡화,남성신발,슬리퍼,
50000791,패션잡화,남성신발,워커,
50000792,패션잡화,남성신발,부츠,
50000665,패션잡화,남성신발,웰트화,
50000666,패션잡화,남성신발,실내화,
50001466,패션잡화,남성신발,운동화,
50003854,패션잡화,남성신발,운동화,러닝화
50003855,패션잡화,남성신발,운동화,보드화
50003856,패션잡화,남성신발,운동화,하이탑
50003857,패션잡화,남성신발,운동화,아쿠아슈즈
50003858,패션잡화,남성신발,운동화,워킹화
50003859,패션잡화,남성신발,운동화,캔버스화
50001467,패션잡화,남성신발,기능화,
50003860,패션잡화,남성신발,기능화,작업화/안전화
50003861,패션잡화,남성신발,기능화,컴포트화
50003862,패션잡화,남성신발,기능화,한복신발
50003863,패션잡화,남성신발,기능화,댄스화
50000787,패션잡화,남성신발,구두,
50000179,패션잡화,지갑,,
50001471,패션잡화,지갑,여성지갑,
50003982,패션잡화,지갑,여성지갑,반지갑
50003983,패션잡화,지갑,여성지갑,중지갑
50003984,패션잡화,지갑,여성지갑,장지갑
50001472,패션잡화,지갑,남성지갑,
50003985,패션잡화,지갑,남성지갑,반지갑
50003986,패션잡화,지갑,남성지갑,중지갑
50003987,패션잡화,지갑,남성지갑,장지갑
50000661,패션잡화,지갑,머니클립,
50000662,패션잡화,지갑,카드/명함지갑,
50000663,패션잡화,지갑,열쇠지갑,
50000664,패션잡화,지갑,동전지갑,
50000537,패션잡화,지갑,통장지갑,
50000538,패션잡화,지갑,지갑기타세트,
50000178,패션잡화,여행용가방/소품,,
50001469,패션잡화,여행용가방/소품,하드캐리어,
50003978,패션잡화,여행용가방/소품,하드캐리어,기내용
50003979,패션잡화,여행용가방/소품,하드캐리어,중대형
50001470,패션잡화,여행용가방/소품,소프트캐리어,
50003980,패션잡화,여행용가방/소품,소프트캐리어,기내용
50003981,패션잡화,여행용가방/소품,소프트캐리어,중대형
50000653,패션잡화,여행용가방/소품,보스턴가방,
50000654,패션잡화,여행용가방/소품,복대,
50000655,패션잡화,여행용가방/소품,이민/유학용가방,
50000656,패션잡화,여행용가방/소품,슈트케이스,
50000657,패션잡화,여행용가방/소품,여권지갑/케이스,
50000658,패션잡화,여행용가방/소품,여행소품케이스,
50000659,패션잡화,여행용가방/소품,네임태그,
50000660,패션잡화,여행용가방/소품,잠금벨트/자물쇠,
50006908,패션잡화,여행용가방/소품,캐리어커버,
50005464,패션잡화,여행용가방/소품,캐리어소품,
50000175,패션잡화,신발용품,,
50000667,패션잡화,신발용품,신발깔창,
50000668,패션잡화,신발용품,신발끈,
50000669,패션잡화,신발용품,보호쿠션/패드,
50000670,패션잡화,신발용품,부츠키퍼,
50000671,패션잡화,신발용품,구둣주걱,
50006909,패션잡화,신발용품,슈즈커버,
50000672,패션잡화,신발용품,기타신발용품,
50000176,패션잡화,여성가방,,
50000644,패션잡화,여성가방,백팩,
50000641,패션잡화,여성가방,크로스백,
50000639,패션잡화,여성가방,숄더백,
50000640,패션잡화,여성가방,토트백,
50000643,패션잡화,여성가방,파우치,
50000642,패션잡화,여성가방,클러치백,
50000645,패션잡화,여성가방,힙색,
50001468,패션잡화,여성가방,가방소품,
50003976,패션잡화,여성가방,가방소품,가방걸이
50003977,패션잡화,여성가방,가방소품,가방끈
50000177,패션잡화,남성가방,,
50000651,패션잡화,남성가방,백팩,
50000648,패션잡화,남성가방,크로스백,
50000646,패션잡화,남성가방,숄더백,
50000647,패션잡화,남성가방,토트백,
50000650,패션잡화,남성가방,브리프케이스,
50000649,패션잡화,남성가방,클러치백,
50000652,패션잡화,남성가방,힙색,
50000184,패션잡화,헤어액세서리,,
50001478,패션잡화,헤어액세서리,가발,
50004008,패션잡화,헤어액세서리,가발,남성가발
50004009,패션잡화,헤어액세서리,가발,여성가발
50000560,패션잡화,헤어액세서리,헤어밴드,
50000561,패션잡화,헤어액세서리,헤어핀,
50000562,패션잡화,헤어액세서리,헤어끈,
50000563,패션잡화,헤어액세서리,헤어액세서리소품,
50000181,패션잡화,모자,,
50001475,패션잡화,모자,스냅백,
50003992,패션잡화,모자,스냅백,일반캡
50003993,패션잡화,모자,스냅백,메시캡
50006868,패션잡화,모자,베레모,
50001474,패션잡화,모자,야구모자,
50003990,패션잡화,모자,야구모자,일반캡
50003991,패션잡화,모자,야구모자,메시캡
50000541,패션잡화,모자,군모,
50000543,패션잡화,모자,비니,
50000548,패션잡화,모자,귀달이모자,
50000549,패션잡화,모자,방울털모자,
50000550,패션잡화,모자,귀마개,
50000547,패션잡화,모자,헌팅캡,
50000544,패션잡화,모자,페도라,
50000545,패션잡화,모자,두건/반다나,
50000546,패션잡화,모자,사파리모자,
50000542,패션잡화,모자,선캡,
50000185,패션잡화,패션소품,,
50001479,패션잡화,패션소품,스카프,
50004010,패션잡화,패션소품,스카프,롱
50004011,패션잡화,패션소품,스카프,쁘띠/미니
50001480,패션잡화,패션소품,손수건,
50004012,패션잡화,패션소품,손수건,남성용
50004013,패션잡화,패션소품,손수건,여성용
50001481,패션잡화,패션소품,넥타이,
50004014,패션잡화,패션소품,넥타이,기본넥타이
50004015,패션잡화,패션소품,넥타이,나비넥타이
50004016,패션잡화,패션소품,넥타이,넥타이핀
50000564,패션잡화,패션소품,커프스,
50000565,패션잡화,패션소품,머플러,
50000566,패션잡화,패션소품,넥워머,
50000567,패션잡화,패션소품,숄,
50000568,패션잡화,패션소품,넥케이프,
50000569,패션잡화,패션소품,행커치프,
50001482,패션잡화,패션소품,우산,
50004017,패션잡화,패션소품,우산,수동우산
50004018,패션잡화,패션소품,우산,자동우산
50001483,패션잡화,패션소품,양산,
50004019,패션잡화,패션소품,양산,수동양산
50004020,패션잡화,패션소품,양산,자동양산
50001484,패션잡화,패션소품,스타킹,
50004021,패션잡화,패션소품,스타킹,발목스타킹
50004022,패션잡화,패션소품,스타킹,판타롱스타킹
50004023,패션잡화,패션소품,스타킹,밴드스타킹
50004024,패션잡화,패션소품,스타킹,팬티스타킹
50004025,패션잡화,패션소품,스타킹,압박보정스타킹
50004026,패션잡화,패션소품,스타킹,스프레이스타킹
50001485,패션잡화,패션소품,브로치,
50004027,패션잡화,패션소품,브로치,보석브로치
50004028,패션잡화,패션소품,브로치,패션브로치
50004029,패션잡화,패션소품,브로치,카네이션브로치
50000571,패션잡화,패션소품,부채,
50000572,패션잡화,패션소품,와펜,
50000573,패션잡화,패션소품,코르사주,
50000574,패션잡화,패션소품,한복소품,
50001486,패션잡화,패션소품,라이터/담배용품,
50004137,패션잡화,패션소품,라이터/담배용품,라이터
50004138,패션잡화,패션소품,라이터/담배용품,담배케이스
50004139,패션잡화,패션소품,라이터/담배용품,기타담배용품
50000570,패션잡화,패션소품,키홀더,
50000434,패션잡화,패션소품,기타패션소품,
50000189,패션잡화,주얼리,,
50001489,패션잡화,주얼리,반지,
50004148,패션잡화,주얼리,반지,다이아몬드반지
50004149,패션잡화,주얼리,반지,14K반지
50004150,패션잡화,주얼리,반지,18K반지
50004151,패션잡화,주얼리,반지,순금반지
50004152,패션잡화,주얼리,반지,은반지
50004153,패션잡화,주얼리,반지,유색보석반지
50004154,패션잡화,주얼리,반지,진주반지
50004155,패션잡화,주얼리,반지,패션반지
50004156,패션잡화,주얼리,반지,이니셜반지
50006870,패션잡화,주얼리,반지,반지만들기
50001490,패션잡화,주얼리,귀걸이,
50004157,패션잡화,주얼리,귀걸이,다이아몬드귀걸이
50004158,패션잡화,주얼리,귀걸이,14K귀걸이
50004159,패션잡화,주얼리,귀걸이,18K귀걸이
50004160,패션잡화,주얼리,귀걸이,순금귀걸이
50004161,패션잡화,주얼리,귀걸이,은귀걸이
50004162,패션잡화,주얼리,귀걸이,유색보석귀걸이
50004163,패션잡화,주얼리,귀걸이,진주귀걸이
50004164,패션잡화,주얼리,귀걸이,패션귀걸이
50004165,패션잡화,주얼리,귀걸이,이니셜귀걸이
50004166,패션잡화,주얼리,귀걸이,피어싱
50006873,패션잡화,주얼리,귀걸이,귀걸이만들기
50001491,패션잡화,주얼리,목걸이,
50004167,패션잡화,주얼리,목걸이,다이아몬드목걸이
50004168,패션잡화,주얼리,목걸이,14K목걸이
50004169,패션잡화,주얼리,목걸이,18K목걸이
50004170,패션잡화,주얼리,목걸이,순금목걸이
50004171,패션잡화,주얼리,목걸이,은목걸이
50004172,패션잡화,주얼리,목걸이,유색보석목걸이
50004173,패션잡화,주얼리,목걸이,진주목걸이
50004174,패션잡화,주얼리,목걸이,패션목걸이
50004175,패션잡화,주얼리,목걸이,이니셜목걸이
50006871,패션잡화,주얼리,목걸이,목걸이만들기
50001492,패션잡화,주얼리,펜던트,
50004176,패션잡화,주얼리,펜던트,금펜던트
50004177,패션잡화,주얼리,펜던트,은펜던트
50004179,패션잡화,주얼리,펜던트,패션펜던트
50004178,패션잡화,주얼리,펜던트,유색보석펜던트
50006170,패션잡화,주얼리,펜던트,순금펜던트
50001493,패션잡화,주얼리,주얼리세트,
50004180,패션잡화,주얼리,주얼리세트,다이아몬드세트
50004181,패션잡화,주얼리,주얼리세트,14K세트
50004182,패션잡화,주얼리,주얼리세트,18K세트
50004183,패션잡화,주얼리,주얼리세트,은세트
50004184,패션잡화,주얼리,주얼리세트,유색보석세트
50004185,패션잡화,주얼리,주얼리세트,진주세트
50004186,패션잡화,주얼리,주얼리세트,패션주얼리세트
50006171,패션잡화,주얼리,주얼리세트,순금주얼리세트
50001494,패션잡화,주얼리,주얼리소품,
50004187,패션잡화,주얼리,주얼리소품,보관함/케이스
50004188,패션잡화,주얼리,주얼리소품,진열대
50004189,패션잡화,주얼리,주얼리소품,세척용품
50006910,패션잡화,주얼리,주얼리소품,기타주얼리소품
50001495,패션잡화,주얼리,팔찌,
50004192,패션잡화,주얼리,팔찌,금팔찌
50004193,패션잡화,주얼리,팔찌,은팔찌
50004194,패션잡화,주얼리,팔찌,패션팔찌
50006169,패션잡화,주얼리,팔찌,순금팔찌
50006872,패션잡화,주얼리,팔찌,팔찌만들기
50006174,패션잡화,주얼리,발찌,
50006175,패션잡화,주얼리,발찌,패션발찌
50006176,패션잡화,주얼리,발찌,순금발찌
50000188,패션잡화,순금,,
50000432,패션잡화,순금,골드바,
50006911,패션잡화,순금,실버바,
50000433,패션잡화,순금,순금기념품,
50000182,패션잡화,장갑,,
50000551,패션잡화,장갑,여성장갑,
50000552,패션잡화,장갑,남성장갑,
50000553,패션잡화,장갑,암워머/토시,
50000180,패션잡화,벨트,,
50000539,패션잡화,벨트,여성벨트,
50001473,패션잡화,벨트,남성벨트,
50003988,패션잡화,벨트,남성벨트,정장벨트
50003989,패션잡화,벨트,남성벨트,캐주얼벨트
50000540,패션잡화,벨트,멜빵,
50000166,패션잡화,양말,,
50001476,패션잡화,양말,여성양말,
50003994,패션잡화,양말,여성양말,덧신
50003995,패션잡화,양말,여성양말,발목양말
50003996,패션잡화,양말,여성양말,중목/장목양말
50003997,패션잡화,양말,여성양말,니삭스
50003998,패션잡화,양말,여성양말,스포츠양말
50003999,패션잡화,양말,여성양말,발가락양말
50004000,패션잡화,양말,여성양말,수면양말
50004001,패션잡화,양말,여성양말,레그워머
50001477,패션잡화,양말,남성양말,
50004002,패션잡화,양말,남성양말,발목양말
50004003,패션잡화,양말,남성양말,중목/장목양말
50004004,패션잡화,양말,남성양말,스포츠양말
50004005,패션잡화,양말,남성양말,발가락양말
50004006,패션잡화,양말,남성양말,수면양말
50004007,패션잡화,양말,남성양말,레그워머
50000183,패션잡화,선글라스/안경테,,
50000554,패션잡화,선글라스/안경테,선글라스,
50000555,패션잡화,선글라스/안경테,선글라스 케이스/소품,
50000556,패션잡화,선글라스/안경테,안경테,
50000557,패션잡화,선글라스/안경테,안경케이스,
50000558,패션잡화,선글라스/안경테,안경소품,
50000559,패션잡화,선글라스/안경테,안경줄,
50000186,패션잡화,시계,,
50000425,패션잡화,시계,커플시계,
50000426,패션잡화,시계,아동시계,
50000435,패션잡화,시계,시계수리용품,
50001487,패션잡화,시계,패션시계,
50004140,패션잡화,시계,패션시계,가죽밴드시계
50004141,패션잡화,시계,패션시계,메탈밴드시계
50004142,패션잡화,시계,패션시계,금시계
50004143,패션잡화,시계,패션시계,뱅글/팔찌형시계
50004144,패션잡화,시계,패션시계,젤리/우레탄밴드시계
50006188,패션잡화,시계,패션시계,기타밴드시계
50004145,패션잡화,시계,패션시계,회중시계
50005245,패션잡화,시계,패션시계,스톱워치
50001488,패션잡화,시계,시계소품,
50004146,패션잡화,시계,시계소품,시계줄
50004147,패션잡화,시계,시계소품,시계보관함
50006913,패션잡화,시계,시계소품,보호필름
50000002,화장품/미용,,,
50000190,화장품/미용,스킨케어,,
50000437,화장품/미용,스킨케어,스킨/토너,
50000438,화장품/미용,스킨케어,로션,
50000439,화장품/미용,스킨케어,에센스,
50000440,화장품/미용,스킨케어,크림,
50000441,화장품/미용,스킨케어,아이케어,
50000442,화장품/미용,스킨케어,미스트,
50000443,화장품/미용,스킨케어,페이스오일,
50000444,화장품/미용,스킨케어,화장품세트,
50000342,화장품/미용,스킨케어,넥케어,
50000191,화장품/미용,선케어,,
50000445,화장품/미용,선케어,선크림,
50000446,화장품/미용,선케어,선스프레이,
50000447,화장품/미용,선케어,선스틱,
50000448,화장품/미용,선케어,선파우더/쿠션,
50001496,화장품/미용,선케어,태닝,
50004195,화장품/미용,선케어,태닝,태닝스프레이
50004403,화장품/미용,선케어,태닝,태닝오일
50004404,화장품/미용,선케어,태닝,태닝크림
50004641,화장품/미용,선케어,태닝,태닝티슈
50000449,화장품/미용,선케어,애프터선,
50000450,화장품/미용,선케어,선케어세트,
50000192,화장품/미용,클렌징,,
50000451,화장품/미용,클렌징,클렌징폼,
50000452,화장품/미용,클렌징,클렌징오일,
50000453,화장품/미용,클렌징,클렌징크림,
50000454,화장품/미용,클렌징,클렌징로션,
50000455,화장품/미용,클렌징,클렌징젤,
50000456,화장품/미용,클렌징,클렌징워터,
50000457,화장품/미용,클렌징,클렌징티슈,
50000458,화장품/미용,클렌징,클렌징비누,
50000459,화장품/미용,클렌징,클렌징파우더,
50000460,화장품/미용,클렌징,립앤아이리무버,
50000461,화장품/미용,클렌징,스크럽/필링,
50000462,화장품/미용,클렌징,클렌징세트,
50000194,화장품/미용,베이스메이크업,,
50000470,화장품/미용,베이스메이크업,BB크림,
50000471,화장품/미용,베이스메이크업,CC크림,
50000472,화장품/미용,베이스메이크업,프라이머,
50000345,화장품/미용,베이스메이크업,메이크업베이스,
50001369,화장품/미용,베이스메이크업,파우더,
50004196,화장품/미용,베이스메이크업,파우더,루스파우더
50004580,화장품/미용,베이스메이크업,파우더,팩트파우더
50000346,화장품/미용,베이스메이크업,트윈케이크,
50001370,화장품/미용,베이스메이크업,파운데이션,
50004197,화장품/미용,베이스메이크업,파운데이션,리퀴드형
50004581,화장품/미용,베이스메이크업,파운데이션,스틱형
50004582,화장품/미용,베이스메이크업,파운데이션,크림형
50005288,화장품/미용,베이스메이크업,파운데이션,쿠션형
50000347,화장품/미용,베이스메이크업,컨실러,
50000390,화장품/미용,베이스메이크업,베이스메이크업세트,
50000195,화장품/미용,색조메이크업,,
50000391,화장품/미용,색조메이크업,립스틱,
50000392,화장품/미용,색조메이크업,립케어,
50000393,화장품/미용,색조메이크업,립글로스,
50000394,화장품/미용,색조메이크업,립틴트,
50000395,화장품/미용,색조메이크업,립라이너,
50000396,화장품/미용,색조메이크업,아이섀도,
50001371,화장품/미용,색조메이크업,아이라이너,
50004377,화장품/미용,색조메이크업,아이라이너,리퀴드형
50004583,화장품/미용,색조메이크업,아이라이너,젤형
50004584,화장품/미용,색조메이크업,아이라이너,펜슬형
50000397,화장품/미용,색조메이크업,마스카라,
50000398,화장품/미용,색조메이크업,아이브로,
50000399,화장품/미용,색조메이크업,블러셔,
50000400,화장품/미용,색조메이크업,하이라이터,
50000401,화장품/미용,색조메이크업,색조메이크업세트,
50000201,화장품/미용,뷰티소품,,
50000319,화장품/미용,뷰티소품,화장품케이스,
50005289,화장품/미용,뷰티소품,DIY화장품재료,
50001373,화장품/미용,뷰티소품,아이소품,
50004379,화장품/미용,뷰티소품,아이소품,뷰러
50004380,화장품/미용,뷰티소품,아이소품,속눈썹
50004381,화장품/미용,뷰티소품,아이소품,쌍꺼풀
50004382,화장품/미용,뷰티소품,아이소품,눈썹칼
50004383,화장품/미용,뷰티소품,아이소품,눈썹가위
50004384,화장품/미용,뷰티소품,아이소품,족집게
50004385,화장품/미용,뷰티소품,아이소품,샤프너
50004386,화장품/미용,뷰티소품,아이소품,기타아이소품
50001374,화장품/미용,뷰티소품,페이스소품,
50004387,화장품/미용,뷰티소품,페이스소품,기름종이
50004388,화장품/미용,뷰티소품,페이스소품,화장솜
50004389,화장품/미용,뷰티소품,페이스소품,퍼프
50004586,화장품/미용,뷰티소품,페이스소품,면봉
50004391,화장품/미용,뷰티소품,페이스소품,마사지도구
50004392,화장품/미용,뷰티소품,페이스소품,세안도구
50004393,화장품/미용,뷰티소품,페이스소품,코털제거기
50004394,화장품/미용,뷰티소품,페이스소품,피지/각질제거기
50004395,화장품/미용,뷰티소품,페이스소품,기타페이스소품
50001375,화장품/미용,뷰티소품,헤어소품,
50004396,화장품/미용,뷰티소품,헤어소품,헤어브러시
50005097,화장품/미용,뷰티소품,헤어소품,에어브러시
50005098,화장품/미용,뷰티소품,헤어소품,드라이어
50005099,화장품/미용,뷰티소품,헤어소품,고데기
50005100,화장품/미용,뷰티소품,헤어소품,매직기
50004397,화장품/미용,뷰티소품,헤어소품,미용가위
50004398,화장품/미용,뷰티소품,헤어소품,헤어롤
50005101,화장품/미용,뷰티소품,헤어소품,롤셋
50004399,화장품/미용,뷰티소품,헤어소품,세안밴드
50005102,화장품/미용,뷰티소품,헤어소품,가발
50005103,화장품/미용,뷰티소품,헤어소품,헤어핀
50005104,화장품/미용,뷰티소품,헤어소품,헤어끈
50004400,화장품/미용,뷰티소품,헤어소품,헤어캡
50004401,화장품/미용,뷰티소품,헤어소품,기타헤어소품
50000316,화장품/미용,뷰티소품,바디소품,
50001376,화장품/미용,뷰티소품,메이크업브러시,
50004402,화장품/미용,뷰티소품,메이크업브러시,립브러시
50004587,화장품/미용,뷰티소품,메이크업브러시,아이브러시
50004588,화장품/미용,뷰티소품,메이크업브러시,페이스브러시
50004589,화장품/미용,뷰티소품,메이크업브러시,브러시세트
50005105,화장품/미용,뷰티소품,거울,
50000317,화장품/미용,뷰티소품,타투,
50005106,화장품/미용,뷰티소품,피부케어기기,
50000193,화장품/미용,마스크/팩,,
50000463,화장품/미용,마스크/팩,마스크시트,
50000464,화장품/미용,마스크/팩,필오프팩,
50000465,화장품/미용,마스크/팩,워시오프팩,
50000466,화장품/미용,마스크/팩,코팩,
50000467,화장품/미용,마스크/팩,수면팩,
50000468,화장품/미용,마스크/팩,마사지크림/젤,
50000469,화장품/미용,마스크/팩,마스크/팩세트,
50000196,화장품/미용,네일케어,,
50000402,화장품/미용,네일케어,매니큐어,
50000403,화장품/미용,네일케어,네일아트,
50000404,화장품/미용,네일케어,네일영양제,
50000405,화장품/미용,네일케어,네일리무버,
50000406,화장품/미용,네일케어,네일케어도구,
50005092,화장품/미용,네일케어,손발톱정리기,
50000407,화장품/미용,네일케어,네일케어세트,
50000200,화장품/미용,향수,,
50000312,화장품/미용,향수,여성향수,
50000313,화장품/미용,향수,남성향수,
50000314,화장품/미용,향수,남녀공용향수,
50000315,화장품/미용,향수,향수세트,
50000197,화장품/미용,바디케어,,
50000408,화장품/미용,바디케어,바디로션,
50000281,화장품/미용,바디케어,바디크림,
50000282,화장품/미용,바디케어,바디오일,
50000283,화장품/미용,바디케어,바디미스트,
50000284,화장품/미용,바디케어,바디파우더,
50000285,화장품/미용,바디케어,바디클렌저,
50000286,화장품/미용,바디케어,바디스크럽,
50000287,화장품/미용,바디케어,여성청결제,
50000288,화장품/미용,바디케어,목욕비누,
50000289,화장품/미용,바디케어,핸드케어,
50000290,화장품/미용,바디케어,풋케어,
50005093,화장품/미용,바디케어,파라핀용품,
50000291,화장품/미용,바디케어,입욕제,
50000292,화장품/미용,바디케어,아로마테라피,
50000293,화장품/미용,바디케어,데오드란트,
50000294,화장품/미용,바디케어,제모제,
50005094,화장품/미용,바디케어,제모기,
50000295,화장품/미용,바디케어,바디슬리밍,
50000296,화장품/미용,바디케어,바디케어세트,
50005287,화장품/미용,바디케어,샤워코롱,
50000198,화장품/미용,헤어케어,,
50000297,화장품/미용,헤어케어,샴푸,
50000298,화장품/미용,헤어케어,린스,
50000299,화장품/미용,헤어케어,트리트먼트,
50000300,화장품/미용,헤어케어,헤어에센스,
50000301,화장품/미용,헤어케어,헤어팩,
50000302,화장품/미용,헤어케어,헤어미스트,
50000303,화장품/미용,헤어케어,두피케어,
50005095,화장품/미용,헤어케어,두피케어기기,
50000304,화장품/미용,헤어케어,탈모케어,
50000305,화장품/미용,헤어케어,헤어케어세트,
50000199,화장품/미용,헤어스타일링,,
50000306,화장품/미용,헤어스타일링,헤어왁스,
50000307,화장품/미용,헤어스타일링,헤어스프레이,
50000308,화장품/미용,헤어스타일링,헤어무스,
